Nr.;BLZ;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;RAH-7;RAH-9;RAH-10;PIN/TAN-Zugang URL;Version;Datum letzte Änderung;;;;;
2650;65341204;Commerzbank;Balingen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
2651;65351050;Kreissparkasse Sigmaringen;Sigmaringen;Finanz Informatik GmbH & Co. KG;DSGV;banking-bw2.s-fints-pt-bw.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-bw2.s-fints-pt-bw.de/fints30;FinTS V3.0;21.07.2015;;;;;
2652;65351260;Sparkasse Zollernalb;Balingen;Finanz Informatik GmbH & Co. KG;DSGV;banking-bw1.s-fints-pt-bw.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-bw1.s-fints-pt-bw.de/fints30;FinTS V3.0;21.07.2015;;;;;
2653;65361469;Volksbank Heuberg;Meßstetten;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2654;65361898;Winterlinger Bank;Winterlingen;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2655;65361989;Onstmettinger Bank;Albstadt, Württ;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2656;65362499;Raiffeisenbank Geislingen-Rosenfeld;Geislingen b Balingen;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2657;65370024;Deutsche Bank Privat und Geschäftskunden AG;Albstadt, Württ;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2658;65370024;Deutsche Bank Privat und Geschäftskunden AG;Balingen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2659;65370024;Deutsche Bank Privat und Geschäftskunden AG;Tuttlingen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2660;65370075;Deutsche Bank AG;Albstadt, Württ;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2661;65370075;Deutsche Bank AG;Balingen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2662;65370075;Deutsche Bank AG;Tuttlingen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2663;65390120;Volksbank Ebingen;Albstadt, Württ;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2664;65391210;Volksbank Balingen;Balingen;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2665;65392030;Volksbank Tailfingen;Albstadt, Württ;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2666;65440087;Commerzbank;Biberach ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
2667;65450070;Kreissparkasse Biberach;Biberach;Finanz Informatik GmbH & Co. KG;DSGV;banking-bw3.s-fints-pt-bw.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-bw3.s-fints-pt-bw.de/fints30;FinTS V3.0;21.07.2015;;;;;
2668;65461878;Raiffeisenbank Risstal;Warthausen an der Riß;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2669;65462231;Raiffeisenbank Illertal;Erolzheim, Kr Biberach an der Riß;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2670;65490130;Volksbank Ulm-Biberach;Biberach an der Riß;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2671;65491320;Volksbank Laupheim;Laupheim;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2672;65491510;Volksbank-Raiffeisenbank Riedlingen;Riedlingen, Württ;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2673;66010075;Postbank;Karlsruhe, Baden;eigenes Rechenzentrum;BdB;;;;;;;;;;;;;;;;;;https://hbci.postbank.de/banking/hbci.do;FinTS V3.0;10.04.2015;;;;;
2674;66020150;UniCredit Bank - HypoVereinsbank AG;Aschheim;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
2675;66020286;UniCredit Bank - HypoVereinsbank AG;Karlsruhe, Baden;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
2676;66020286;UniCredit Bank - HypoVereinsbank AG;Pforzheim;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
2677;66020286;UniCredit Bank - HypoVereinsbank AG;Baden-Baden;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
2678;66040018;Commerzbank;Ettlingen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
2679;66040018;Commerzbank;Karlsruhe;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
2680;66040018;Commerzbank;Rastatt;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
2681;66050101;Sparkasse Karlsruhe Ettlingen;Karlsruhe;Finanz Informatik GmbH & Co. KG;DSGV;banking-bw4.s-fints-pt-bw.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-bw4.s-fints-pt-bw.de/fints30;FinTS V3.0;21.07.2015;;;;;
2682;66060300;Spar- und Kreditbank;Karlsruhe, Baden;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2683;66060800;Evangelische Kreditgenossenschaft -Filiale Karlsruhe-;Karlsruhe, Baden;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2684;66061059;Volksbank Stutensee Hardt;Stutensee;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2685;66061407;Spar- und Kreditbank;Rheinstetten, Baden;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2686;66061724;Volksbank Weingarten-Walzbachtal;Weingarten (Baden);Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2687;66062138;Spar- und Kreditbank Hardt;Eggenstein-Leopoldshafen;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2688;66062366;Raiffeisenbank Hardt-Bruhrain;Dettenheim, Baden;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2689;66069103;Raiffeisenbank Elztal;Elztal;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2690;66069104;Spar- und Kreditbank;Dauchingen;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2691;66069117;Raiffeisenbank Döggingen-Mundelfingen -alt-;Bräunlingen;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2692;66069265;Raiffeisenbank Hilsbach -alt-;Sinsheim, Elsenz;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2693;66069323;Spar- und Kreditbank Daxlanden Karlsruhe -alt-;Karlsruhe, Baden;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2694;66069342;Volksbank Krautheim;Krautheim, Jagst;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2695;66069573;Raiffeisenbank Sexau -alt-;Sexau;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2696;66069617;Raiffeisenbank Schwenningen-Heuberg;Schwenningen, Baden;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2697;66070004;Deutsche Bank AG;Bruchsal;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2698;66070004;Deutsche Bank AG;Bretten, Baden;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2699;66070004;Deutsche Bank AG;Ettlingen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2700;66070004;Deutsche Bank AG;Karlsruhe, Baden;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2701;66070024;Deutsche Bank Privat und Geschäftskunden AG;Bretten, Baden;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2702;66070024;Deutsche Bank Privat und Geschäftskunden AG;Bruchsal;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2703;66070024;Deutsche Bank Privat und Geschäftskunden AG;Ettlingen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2704;66070024;Deutsche Bank Privat und Geschäftskunden AG;Karlsruhe, Baden;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2705;66090800;BBBank;Karlsruhe, Baden;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2706;66091200;Volksbank Ettlingen;Ettlingen;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2707;66091500;Volksbank Neureut -alt-;Karlsruhe, Baden;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2708;66190000;Volksbank Karlsruhe;Karlsruhe, Baden;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2709;66190100;Volksbank Durlach -alt-;Karlsruhe, Baden;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2710;66240002;Commerzbank;Baden-Baden;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
2711;66250030;Stadtsparkasse Baden-Baden Gaggenau;Baden-Baden;Finanz Informatik GmbH & Co. KG;DSGV;banking-bw3.s-fints-pt-bw.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-bw3.s-fints-pt-bw.de/fints30;FinTS V3.0;21.07.2015;;;;;
2712;66251434;Sparkasse Bühl;Bühl;Finanz Informatik GmbH & Co. KG;DSGV;banking-bw3.s-fints-pt-bw.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-bw3.s-fints-pt-bw.de/fints30;FinTS V3.0;21.07.2015;;;;;
2713;66261092;Spar- und Kreditbank;Bühlertal;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2714;66261416;Raiffeisenbank Altschweier;Bühl, Baden;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2715;66270001;Deutsche Bank AG;Gernsbach;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2716;66270001;Deutsche Bank AG;Gaggenau;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2717;66270001;Deutsche Bank AG;Baden-Baden;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2718;66270001;Deutsche Bank AG;Rastatt;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2719;66270001;Deutsche Bank AG;Bühl, Baden;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2720;66270024;Deutsche Bank Privat und Geschäftskunden AG;Baden-Baden;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2721;66270024;Deutsche Bank Privat und Geschäftskunden AG;Bühl, Baden;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2722;66270024;Deutsche Bank Privat und Geschäftskunden AG;Gaggenau;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2723;66270024;Deutsche Bank Privat und Geschäftskunden AG;Gernsbach;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2724;66270024;Deutsche Bank Privat und Geschäftskunden AG;Rastatt;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2725;66270099;Deutsche Bank AG;Baden-Baden;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2726;66290000;Volksbank Baden-Baden Rastatt;Rastatt;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2727;66291300;Volksbank Achern;Achern, Baden;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2728;66291400;Volksbank Bühl;Bühl, Baden;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2729;66340018;Commerzbank;Bruchsal;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
2730;66350036;Sparkasse Kraichgau (Bruchsal-Bretten-Sinsheim);Kraichgau;Finanz Informatik GmbH & Co. KG;DSGV;banking-bw2.s-fints-pt-bw.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-bw2.s-fints-pt-bw.de/fints30;FinTS V3.0;21.07.2015;;;;;
2731;66361178;Raiffeisenbank Kraich-Hardt -alt-;Forst, Baden;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2732;66361335;Volksbank Kirrlach -alt-;Waghäusel;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2733;66361588;Raiffeisenbank Sulzfeld -alt-;Sulzfeld, Baden;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2734;66362345;Raiffeisenbank Kronau -alt-;Kronau, Baden;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2735;66363487;Raiffeisenbank Odenheim-Tiefenbach -alt-;Östringen;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2736;66390000;Volksbank Bruchsal-Bretten -alt-;Bruchsal;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2737;66391200;Volksbank Bruchsal-Bretten;Bretten, Baden;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2738;66391600;Volksbank Bruhrain-Kraich-Hardt;Oberhausen-Rheinhausen;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2739;66432700;Bankhaus C. Faisst OHG;Wolfach;Bank-Verlag GmbH;BdB;;;;;;;;;;;;;;;;;;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;FinTS V3.0;06.07.2006;;;;;
2740;66440084;Commerzbank;Offenburg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
2741;66450050;Sparkasse Offenburg/Ortenau;Offenburg;Finanz Informatik GmbH & Co. KG;DSGV;banking-bw5.s-fints-pt-bw.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-bw5.s-fints-pt-bw.de/fints30;FinTS V3.0;21.07.2015;;;;;
2742;66451346;Sparkasse Gengenbach;Gengenbach;Finanz Informatik GmbH & Co. KG;DSGV;banking-bw5.s-fints-pt-bw.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-bw5.s-fints-pt-bw.de/fints30;FinTS V3.0;21.07.2015;;;;;
2743;66451548;Sparkasse Haslach-Zell;Haslach-Zell;Finanz Informatik GmbH & Co. KG;DSGV;banking-bw5.s-fints-pt-bw.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-bw5.s-fints-pt-bw.de/fints30;FinTS V3.0;21.07.2015;;;;;
2744;66451862;Sparkasse Hanauerland;Kehl;Finanz Informatik GmbH & Co. KG;DSGV;banking-bw5.s-fints-pt-bw.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-bw5.s-fints-pt-bw.de/fints30;FinTS V3.0;21.07.2015;;;;;
2745;66452776;Sparkasse Wolfach;Wolfach;Finanz Informatik GmbH & Co. KG;DSGV;banking-bw5.s-fints-pt-bw.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-bw5.s-fints-pt-bw.de/fints30;FinTS V3.0;21.07.2015;;;;;
2746;66470024;Deutsche Bank Privat und Geschäftskunden AG;Haslach im Kinzigtal;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2747;66470024;Deutsche Bank Privat und Geschäftskunden AG;Kehl, Rhein;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2748;66470024;Deutsche Bank Privat und Geschäftskunden AG;Oberkirch, Baden;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2749;66470024;Deutsche Bank Privat und Geschäftskunden AG;Offenburg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2750;66470035;Deutsche Bank AG;Kehl, Rhein;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2751;66470035;Deutsche Bank AG;Haslach im Kinzigtal;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2752;66470035;Deutsche Bank AG;Offenburg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2753;66470035;Deutsche Bank AG;Oberkirch, Baden;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
2754;66490000;Volksbank Offenburg;Offenburg;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2755;66491800;Volksbank Bühl Fil Kehl;Kehl, Rhein;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
2756;66492300;Renchtalbank -alt-;Oppenau;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
